[2026-09-24 12:35:22] UNACEMC1 2025: 248 filas | respuesta HTTP 200
[2026-09-24 12:35:25] VOLCABC1 2018: 249 filas | respuesta HTTP 200
[2026-09-24 12:35:28] VOLCABC1 2019: 251 filas | respuesta HTTP 200
[2026-09-24 12:35:31] VOLCABC1 2020: 253 filas | respuesta HTTP 200
[2026-09-24 12:35:33] VOLCABC1 2021: 250 filas | respuesta HTTP 200
[2026-09-24 12:35:37] VOLCABC1 2022: 251 filas | respuesta HTTP 200
[2026-09-24 12:35:39] VOLCABC1 2023: 251 filas | respuesta HTTP 200
[2026-09-24 12:35:42] VOLCABC1 2024: 248 filas | respuesta HTTP 200
[2026-09-24 12:35:45] VOLCABC1 2025: 248 filas | respuesta HTTP 200
[2026-09-24 12:35:48] ATACOBC1 2018: 249 filas | respuesta HTTP 200
[2026-09-24 12:35:51] ATACOBC1 2019: 251 filas | respuesta HTTP 200
[2026-09-24 12:35:53] ATACOBC1 2020: 253 filas | respuesta HTTP 200
[2026-09-24 12:35:56] ATACOBC1 2021: 250 filas | respuesta HTTP 200
[2026-09-24 12:35:59] ATACOBC1 2022: 251 filas | respuesta HTTP 200
[2026-09-24 12:36:02] ATACOBC1 2023: 251 filas | respuesta HTTP 200
[2026-09-24 12:36:05] ATACOBC1 2024: 248 filas | respuesta HTTP 200
[2026-09-24 12:36:08] ATACOBC1 2025: 248 filas | respuesta HTTP 200
[2026-09-24 12:36:11] AUSTRAC1 2018: 249 filas | respuesta HTTP 200
[2026-09-24 12:36:13] AUSTRAC1 2019: 251 filas | respuesta HTTP 200
[2026-09-24 12:36:16] AUSTRAC1 2020: 253 filas | respuesta HTTP 200
[2026-09-24 12:36:19] AUSTRAC1 2021: 250 filas | respuesta HTTP 200
[2026-09-24 12:36:21] AUSTRAC1 2022: 251 filas | respuesta HTTP 200
[2026-09-24 12:36:24] AUSTRAC1 2023: 251 filas | respuesta HTTP 200
[2026-09-24 12:36:27] AUSTRAC1 2024: 248 filas | respuesta HTTP 200
[2026-09-24 12:36:30] AUSTRAC1 2025: 248 filas | respuesta HTTP 200
[2026-09-24 12:36:32] FIN | archivo: datos_crudos_2024200535B_bvl.csv | 48024 filas | 24 emisoras
